company_name,labeled_location,address,latitude,longitude,labeled_county,computed_county,location_city,address_city,address_state,outside_polygon,duplicate_cluster_id,duplicate_risk_class,conflict_flags,evidence_score
First American Resources,"Albany, Dougherty County","2030 Riverview Industrial Dr SE, Mableton, GA 30126",33.8131088,-84.4933732,Dougherty,Cobb,Albany,Mableton,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Fouts Brothers Fire Equipment,"Statesboro, Bulloch County","138 Roberson Mill Rd, Milledgeville, GA 31061",33.1040128,-83.2566807,Bulloch,Baldwin,Statesboro,Milledgeville,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Freudenberg-NOK,"Warrenton, Warren County","1618 Lukken Industrial Dr, LaGrange, GA 30240",33.0137815,-85.063217,Warren,Troup,Warrenton,Lagrange,GA,False,DUP007,benign_same_company,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch | duplicate_coordinate_cluster,3
Freudenberg-NOK,"Carnesville, Franklin County","1618 Lukken Industrial Dr, LaGrange, GA 30240",33.0137815,-85.063217,Franklin,Troup,Carnesville,Lagrange,GA,False,DUP007,benign_same_company,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch | duplicate_coordinate_cluster,3
GEDIA Georgia LLC,"Jonesboro, Clayton County","1 GEDIA Way, Dalton, GA 30721",33.7822022,-84.4078083,Clayton,Fulton,Jonesboro,Dalton,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
GLOVIS Georgia LLC,"Dublin, Laurens County","127 N Park Ct, Savannah, GA 31407",32.231682,-81.1991214,Laurens,Chatham,Dublin,Savannah,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
GSC Steel Stamping LLC,"Gainesville, Hall County","104 International Pkwy, Adairsville, GA 30103",34.3845755,-84.9241385,Hall,Bartow,Gainesville,Adairsville,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Global Powertrain Systems LLC,"Rome, Floyd County","300 Logistics Parkway, Jefferson, GA 30549",34.1890046,-83.5972972,Floyd,Jackson,Rome,Jefferson,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Goodyear Tire & Rubber Co.,"Athens, Clarke County","1420 Phoenix Blvd, Suite 300, Atlanta, GA 30349",33.6143207,-84.4387649,Clarke,Clayton,Athens,Atlanta,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Great Dane Trailers,"Tifton, Tift County","602 E Lathrop Ave, Savannah, GA 31415",32.0869786,-81.1109775,Tift,Chatham,Tifton,Savannah,GA,False,DUP002,shared_address_or_alias,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch | duplicate_coordinate_cluster,3
Grudem,"Lawrenceville, Gwinnett County","1245 Industrial Blvd, Gainesville, GA 30501",34.2762316,-83.8348776,Gwinnett,Hall,Lawrenceville,Gainesville,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
HELLA Automotive Sales Inc.,"Gainesville, Hall County","2018 Powers Ferry Rd SE, Suite 400, Atlanta, GA 30339",33.9022104,-84.4579122,Hall,Cobb,Gainesville,Atlanta,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
HEXPOL Compounding Corp.,"Decatur, DeKalb County","1020 Plantation Way, Griffin, GA 30224",33.2928001,-84.3008919,Dekalb,Spalding,Decatur,Griffin,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Haering Precision USA LP,"Dahlonega, Lumpkin County","5000 Frontage Rd, Buford, GA 30518",34.2328208,-83.8634499,Lumpkin,Hall,Dahlonega,Buford,GA,False,DUP015,benign_same_company,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch | duplicate_coordinate_cluster,3
Hitachi Astemo Americas Inc.,Coweta County,"400 Hanon Dr, Shorter, GA 36075",32.4705166,-85.8969782,Coweta,,,Shorter,GA,True,DUP004,shared_address_or_alias,outside_georgia_polygon | duplicate_coordinate_cluster,3
Hollingsworth & Vose Co.,"Bainbridge, Decatur County","111 Hollingsworth & Vose Rd, Hawkinsville, GA 31036",32.2835422,-83.4667907,Decatur,Pulaski,Bainbridge,Hawkinsville,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Honda Development & Manufacturing,"Pembroke, Bryan County","1000 Honda Dr, Tallapoosa, GA 30176",34.2575874,-84.5070413,Bryan,Cherokee,Pembroke,Tallapoosa,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Hwashin,"Jefferson, Jackson County","1465 Troup Industrial Blvd, LaGrange, GA 30240",33.6931709,-85.2753961,Jackson,Haralson,Jefferson,Lagrange,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Hyundai Motor Group,"McDonough, Henry County","700 Hyundai Blvd, Ellabell, GA 31308",32.159233,-81.502963,Henry,Bryan,Mcdonough,Ellabell,GA,False,DUP003,shared_address_or_alias,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch | duplicate_coordinate_cluster,3
IMMI,"Jefferson, Jackson County","2002 Industrial Park Dr, Dublin, GA 31021",32.511763,-82.923552,Jackson,Laurens,Jefferson,Dublin,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
IMS Gear Georgia Inc.,"Fayetteville, Fayette County","300 Satellite Blvd NE, Suwanee, GA 30024",34.035115,-84.064265,Fayette,Gwinnett,Fayetteville,Suwanee,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Inalfa Roof Systems Inc.,"Lawrenceville, Gwinnett County","100 Inalfa Dr, Acworth, GA 30102",34.07068,-84.589406,Gwinnett,Cobb,Lawrenceville,Acworth,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
JTEKT North America Corp.,"Canton, Cherokee County","301 Teco Dr, Pendergrass, GA 30567",34.130329,-83.7648529,Cherokee,Jackson,Canton,Pendergrass,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Jefferson Southern Corp.,"Dahlonega, Lumpkin County","1 Jefferson Southern Dr, Commerce, GA 30529",34.197573,-84.0452959,Lumpkin,Forsyth,Dahlonega,Commerce,GA,False,DUP014,shared_address_or_alias,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch | duplicate_coordinate_cluster,3
Jefferson Southern Corporation,"Monroe, Walton County","1 Jefferson Southern Dr, Commerce, GA 30529",34.197573,-84.0452959,Walton,Forsyth,Monroe,Commerce,GA,False,DUP014,shared_address_or_alias,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch | duplicate_coordinate_cluster,3
KTX America Corporation,"Springfield, Effingham County","205 KTX Dr, LaGrange, GA 30240",33.163387,-84.766589,Effingham,Meriwether,Springfield,Lagrange,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Kia Georgia Inc.,"Appling, Columbia County","1025 Kia Blvd, West Point, GA 31833",32.9322549,-85.1253523,Columbia,Troup,Appling,West Point,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Lark United Manufacturing Inc.,"Gainesville, Hall County","200 Industrial Blvd, Dublin, GA 31021",32.5320682,-82.950167,Hall,Laurens,Gainesville,Dublin,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Lear Corporation,"Cartersville, Bartow County","100 Lear Dr, Hammond Industrial Park, GA 30240",33.051868,-85.035353,Bartow,Troup,Cartersville,Hammond Industrial Park,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Lehigh Technologies Inc.,"Rome, Floyd County","1000 New Horizons Way, Tucker, GA 30084",33.760895,-83.862556,Floyd,Walton,Rome,Tucker,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Lund International Inc.,"Savannah, Chatham County","189 Excalibur Dr, Madison, GA 30650",33.589481,-83.518495,Chatham,Morgan,Savannah,Madison,GA,False,DUP009,shared_address_or_alias,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch | duplicate_coordinate_cluster,3
Lund International Inc./Ventshade Division,"Statesboro, Bulloch County","189 Excalibur Dr, Madison, GA 30650",33.589481,-83.518495,Bulloch,Morgan,Statesboro,Madison,GA,False,DUP009,shared_address_or_alias,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch | duplicate_coordinate_cluster,3
Lyle Industries Inc.,"Buchanan, Haralson County","715 Lyle Industrial Dr, Dawsonville, GA 30534",34.3593919607897,-84.0532282608105,Haralson,Dawson,Buchanan,Dawsonville,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Lyle Industries Inc.,"Rome, Floyd County","715 Lyle Industrial Dr, Dawsonville, GA 30534",34.3589668332603,-84.0531424301202,Floyd,Dawson,Rome,Dawsonville,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Mack Trucks,"Savannah, Chatham County","1525 Madison Hwy, Dublin, GA 31021",30.804784,-83.273804,Chatham,Lowndes,Savannah,Dublin,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Magna International,"Augusta, Richmond County","250 Magna Dr, Carrollton, GA 30117",33.574772,-85.050522,Richmond,Carroll,Augusta,Carrollton,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Mando America Corp.,"Dublin, Laurens County","100 Mando Dr, Hogansville, GA 30230",33.1709673066386,-84.8589919386904,Laurens,Meriwether,Dublin,Hogansville,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Master Craft Engineering Inc.,"Savannah, Chatham County","1000 Mastercraft Ln, Lavonia, GA 30553",34.408031,-83.144241,Chatham,Franklin,Savannah,Lavonia,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Maxxis International USA,"La Fayette, Walker County","100 International Pkwy, Suwanee, GA 30024",33.6352704,-84.3965777,Walker,Clayton,La Fayette,Suwanee,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Mercedes-Benz USA LLC,"Cedartown, Polk County","1 Mercedes-Benz Dr, Sandy Springs, GA 30328",33.9345221674192,-84.3634150192005,Polk,Fulton,Cedartown,Sandy Springs,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Milliken & Co./Valway Plant,"Greenville, Meriwether County","920 Milliken Rd, LaGrange, GA 30241",33.050989,-85.094007,Meriwether,Troup,Greenville,Lagrange,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Mobis Alabama LLC,"Gainesville, Hall County","300 Hyundai MOBIS Dr, West Point, GA 31833",32.9150013591105,-85.123997845357,Hall,Troup,Gainesville,West Point,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
MollerTech LLC,"Toccoa, Stephens County","100 Mollertech Dr, Dalton, GA 30721",34.788493,-84.91381,Stephens,Whitfield,Toccoa,Dalton,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Murata Electronics North America Inc.,"Covington, Newton County","1000 Corporate Dr, Smyrna, GA 30080",33.8866538,-84.783561,Newton,Paulding,Covington,Smyrna,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
NVH Korea,"Greenville, Meriwether County","120 Colvin Drive, Locust Grove, GA 30248",33.3690335423479,-84.120730447218,Meriwether,Henry,Greenville,Locust Grove,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Neaton Rome Inc.,"Hamilton, Harris County","1 Neaton Dr, Rome, GA 30161",33.766217,-84.713912,Harris,Douglas,Hamilton,Rome,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Nidec Elesys Americas Corp.,"Metter, Candler County","3900 Lakefield Ct, Suwanee, GA 30024",34.064876,-84.156737,Candler,Forsyth,Metter,Suwanee,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Nile Automotive,"Dalton, Whitfield County","4490 Alicia Lane, Cumming, GA 30028",34.2861491093215,-84.0807175267039,Whitfield,Forsyth,Dalton,Cumming,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
Nisshinbo Automotive Manufacturing Inc.,"Gainesville, Hall County","14187 Nisshinbo Drive, Covington, GA 30014",33.627596641273,-83.8396850708471,Hall,Newton,Gainesville,Covington,GA,False,,,location_city_vs_address_city_conflict | labeled_county_vs_computed_county_mismatch,3
