company_name,labeled_location,address,latitude,longitude,computed_county,labeled_county,address_city,address_state
KTX America Corporation,"Springfield, Effingham County","205 KTX Dr, LaGrange, GA 30240",33.163387,-84.766589,Meriwether,Effingham,Lagrange,GA
Kautex Inc.,Carroll County,"100 Kautex Dr, Lavonia, GA 30553",34.968226,-83.490631,Rabun,Carroll,Lavonia,GA
Kia Georgia Inc.,"Appling, Columbia County","1025 Kia Blvd, West Point, GA 31833",32.9322549,-85.1253523,Troup,Columbia,West Point,GA
Kumho Tire USA Inc.,Troup County,"1 Kumho Dr, Macon, GA 31216",32.8406946,-83.6324022,Bibb,Troup,Macon,GA
Lark United Manufacturing Inc.,"Gainesville, Hall County","200 Industrial Blvd, Dublin, GA 31021",32.5320682,-82.950167,Laurens,Hall,Dublin,GA
Lear Corporation,"Cartersville, Bartow County","100 Lear Dr, Hammond Industrial Park, GA 30240",33.051868,-85.035353,Troup,Bartow,Hammond Industrial Park,GA
Lehigh Technologies Inc.,"Rome, Floyd County","1000 New Horizons Way, Tucker, GA 30084",33.760895,-83.862556,Walton,Floyd,Tucker,GA
Linde + Wiemann,Troup County,"200 Linde Wiemann Way, Dublin, GA 31021",32.493414,-82.943064,Laurens,Troup,Dublin,GA
Lund International Inc.,"Savannah, Chatham County","189 Excalibur Dr, Madison, GA 30650",33.589481,-83.518495,Morgan,Chatham,Madison,GA
Lund International Inc./Ventshade Division,"Statesboro, Bulloch County","189 Excalibur Dr, Madison, GA 30650",33.589481,-83.518495,Morgan,Bulloch,Madison,GA
Lyle Industries Inc.,"Buchanan, Haralson County","715 Lyle Industrial Dr, Dawsonville, GA 30534",34.3593919607897,-84.0532282608105,Dawson,Haralson,Dawsonville,GA
Lyle Industries Inc.,"Rome, Floyd County","715 Lyle Industrial Dr, Dawsonville, GA 30534",34.3589668332603,-84.0531424301202,Dawson,Floyd,Dawsonville,GA
Mack Trucks,"Savannah, Chatham County","1525 Madison Hwy, Dublin, GA 31021",30.804784,-83.273804,Lowndes,Chatham,Dublin,GA
Magna International,"Augusta, Richmond County","250 Magna Dr, Carrollton, GA 30117",33.574772,-85.050522,Carroll,Richmond,Carrollton,GA
Mando America Corp.,"Dublin, Laurens County","100 Mando Dr, Hogansville, GA 30230",33.1709673066386,-84.8589919386904,Meriwether,Laurens,Hogansville,GA
Master Craft Engineering Inc.,"Savannah, Chatham County","1000 Mastercraft Ln, Lavonia, GA 30553",34.408031,-83.144241,Franklin,Chatham,Lavonia,GA
Maxxis International USA,"La Fayette, Walker County","100 International Pkwy, Suwanee, GA 30024",33.6352704,-84.3965777,Clayton,Walker,Suwanee,GA
